teks_chat,label_intent
"dari pola ngomongnya A paling mencurigakan, dia terus dorong vote tanpa bukti jelas",accusing
"B langsung kena Gag Order pas mau jelasin alibinya, fix ada Hitman yang takut kebongkar",accusing
"menurut urutan kejadian, C paling diuntungkan dari hostage semalam, gw curiga dia Hitman",accusing
"A dari tadi cuma ikut arus dan menghindari pertanyaan, perilakunya sus banget",accusing
"Gag Order ke D muncul tepat setelah dia menyebut nama pelaku, kemungkinan besar C Hitmannya",accusing
"gw perhatiin B selalu mengubah tuduhan saat argumennya dibantah, itu pola Hitman banget",accusing
"kalau lihat timing vote, A sengaja mengalihkan fokus dari dirinya ke pemain yang pasif",accusing
"C terlalu cepat menyimpulkan target tanpa data, menurutku dia sedang membangun narasi palsu",accusing
"si D paling diuntungkan dari korban malam ini, jadi dia kandidat Hitman terkuat",accusing
"bukan sekadar feeling, A konsisten menghindari pembahasan soal siapa yang kena hostage",accusing
"B mendadak membungkam C setelah C mulai menyusun kronologi, gw tuduh B sebagai Hitman",accusing
"dari semua pemain, C punya penjelasan paling tidak konsisten soal aksinya",accusing
"A kelihatan sengaja memancing konflik lalu diam saat orang lain saling vote, mencurigakan banget",accusing
"kalau Hitman punya akses Gag Order, timing ke B tadi terlalu tepat untuk dianggap kebetulan",accusing
"gw lihat D selalu membela A tanpa alasan objektif, kemungkinan mereka satu kubu jahat",accusing
"C terus menekan pemain yang informasinya terbatas, itu strategi aman buat menghindari sorotan",accusing
"menurut analisis gw, B mengarang alibi setelah melihat arah diskusi, bukan dari informasi asli",accusing
"A paling cepat menuduh setelah fase pagi dibuka, seolah sudah tahu siapa yang harus ditekan",accusing
D jadi tersangka utama karena argumennya berubah total setelah Gag Order dipakai,accusing
"si B terlalu tenang ketika korban muncul, responsnya terasa seperti sudah memperkirakan hasilnya",accusing
"C menolak semua hipotesis tapi tidak menawarkan alternatif, gaya debatnya cuma mengaburkan jejak",accusing
"dari pola voting ronde sebelumnya, A selalu membantu pemain yang akhirnya selamat dari tuduhan",accusing
"Gag Order tadi kelihatan dipakai untuk memotong informasi penting, dan B punya motif paling kuat",accusing
"D mengklaim punya logika, tapi tidak pernah menjelaskan hubungan antara bukti dan tuduhannya",accusing
gw curiga C karena dia baru aktif setelah target diskusi sudah aman dari vote,accusing
"A terlalu fokus menuduh pemain yang tidak bisa membalas, ini bisa jadi upaya memanfaatkan situasi",accusing
"B punya alibi yang cuma bergantung pada asumsi, belum ada kejadian yang benar-benar mendukung",accusing
"kalau dibandingkan dengan pola chat awal, D sekarang lebih agresif dan defensif secara bersamaan",accusing
si C kemungkinan Hitman karena setiap pertanyaan penting selalu dijawab dengan tuduhan balik,accusing
"aku menilai A paling berbahaya, dia mengontrol arah diskusi tanpa memberikan informasi baru",accusing
"aku ikut suara mayoritas, si Raka paling mencurigakan dari chatnya",accusing
"kalau ditanya, aku curiga ke Bima; jawabannya muter terus",accusing
"sus, sejak ada Gag Order ke Nia, Riko malah cepat nuduh orang lain",accusing
"aku nggak punya bukti kuat, tapi Dito diem terus kayak Hitman",accusing
"menurutku Sari mencurigakan, apalagi dia menghindar waktu ditanya",accusing
"ya, aku ikut vote Arga, dari tadi tuduhannya nggak jelas",accusing
"yang kena Gag Order tadi kayaknya sengaja dibungkam, curiga ke Fikri",accusing
"gw cuma ngikut mayoritas, tapi Vino paling sus dari responsnya",accusing
"kalau lihat chat tadi, Lala lebih mungkin Hitman daripada yang lain",accusing
"aku curiga sama Reno, dia muncul cuma pas ada yang mulai dituduh",accusing
"si Tio terlalu cepat ikut nuduh, biasanya yang begitu patut dicurigai",accusing
"nggak yakin sih, tapi Maya dari tadi jawab seperlunya banget",accusing
"menurutku pelaku Gag Order ada di pihak Jovan, geraknya terlalu pas",accusing
"aku ikut kecurigaan ke Seno, alasannya berubah-ubah terus",accusing
"Ayu kelihatan panik waktu ditanya soal malam tadi, fix mencurigakan",accusing
"gw nggak banyak ngomong, tapi pilihan gw tetap ke Damar",accusing
"kalau mayoritas pilih Kiki, aku ikut; chat dia memang paling aneh",accusing
"si Beni mungkin Hitman, dia terus mengarahkan vote ke orang lain",accusing
aku curiga ke Caca karena dia sengaja menghilang setelah Gag Order,accusing
"sus banget si Eko, tiap diskusi cuma ikut tuduhan terakhir",accusing
"dari pola chatnya, Fani kayaknya lagi nutupin sesuatu",accusing
"aku nggak bisa memastikan, tapi Gilang paling layak dicurigai",accusing
yang nyuruh fokus ke korban Gag Order tadi kemungkinan besar Hadi,accusing
"gw lihat Iqbal terlalu tenang, padahal situasinya udah kacau",accusing
"kalau harus pilih sekarang, aku tuduh Jaka sebagai Hitman",accusing
"si Karel jawabnya aman banget, malah jadi kelihatan sus",accusing
"aku ikut pendapat kalian, tapi Luki memang paling mencurigakan",accusing
menurutku Miko sengaja bikin debat berantakan supaya lolos vote,accusing
"dia yang paling keras nuduh Nando, bisa jadi cuma pengalihan",accusing
"aku curiga ke Oki; setelah Gag Order, dia langsung mengubah arah pembicaraan",accusing
"jangan lempar tuduhan ke gw, yang paling mencurigakan justru si Raka dari tadi ngeles terus",accusing
