"teks_chat","label_intent"
"lu pasti gangster, sering banget dapet duit gede abis main Toto","accusing"
"gue curiga lu deh, duit lu gak masuk akal banyaknya","accusing"
"fix deh, lu ketua gangster, tiap hari dapet Toto mulu","accusing"
"mainnya curang banget lu, pasti lu gangster","accusing"
"wah duit lu tambah terus, pasti ada yang gak bener","accusing"
"ngaku aja lu gangster, duit lu gak masuk akal","accusing"
"lu sering banget pake Secret Card, pasti lu ketua gangster","accusing"
"banyak banget duit lu, pasti lu ngerampok","accusing"
"ketauan lu, pasti lu ketua gangster, sering banget dapet Toto","accusing"
"gw curiga lu deh, lu gangster ya?","accusing"
"sekali lagi duit lu nambah sendiri, gw yakin lu ketua gangster","accusing"
"lu diem-diem dapet Secret Card mulu, pasti gangster","accusing"
"fix lu gangster, aneh duit lu tambah terus","accusing"
"ketua gangster pasti lu, gak mungkin duit lu banyak banget","accusing"
"anjir, lu pasti gangster, duit lu gak abis-abis","accusing"
"lu pake Fake News kemarin kan? pasti lu gangster","accusing"
"lu pasti gangster, dari mana duit lu banyak gitu?","accusing"
"gw yakin lu ketua gangster, sering banget dapet duit Toto","accusing"
"curiga gw sama lu, duit lu dari mana? gangster ya?","accusing"
"lu pasti gangster, tiap main duit lu nambah terus","accusing"
"gw liat lu pake Secret Card mulu, pasti gangster","accusing"
"lu dapet duit Toto mulu, lu gangster ya?","accusing"
"lu pasti ketua gangster, duit lu dari mana sih banyak banget?","accusing"
"gw curiga lu gangster, tiap ada rampokan duit lu nambah terus","accusing"
"ketua gangster pasti lu, aneh banget duit lu gak abis","accusing"
"lu sering banget dapet Invitation Card, fix gangster","accusing"
"gw yakin lu ketua gangster, jarang banget gagal rampoknya","accusing"
"tiap kali rampok lu berhasil mulu, pasti lu gangster","accusing"
"anjir, duit lu tambah terus, pasti ketua gangster","accusing"
"pasti lu gangster, duit lu dari mana banyak banget?","accusing"
"lu pasti ketua gangster, gak mungkin duit lu banyak gitu","accusing"
"lu gangster ya? sering banget dapet duit dari Toto ","accusing"
"lu sering pake Invitation Card, pasti gangster","accusing"
"duit lu banyak banget, pasti lu ketua gangster","accusing"
"gw yakin lu gangster, sering banget dapet duit dari Toto","accusing"
"pasti lu gangster, kok bisa kaya gitu sih?","accusing"
"lu pasti ketua gangster, duit lu dari mana sih?","accusing"
