teks_chat,label_intent
Dari pola jawabannya yang selalu menghindar si Raka paling patut dicurigai sebagai Hitman,accusing
Dia langsung pakai Gag Order setelah ditanya alibi itu terlalu menguntungkan buat Hitman,accusing
Menurutku si Bima sus karena tuduhannya berubah tiap ada bukti baru,accusing
Kalau urutannya kita lihat objektif serangan malam dan pembungkaman chat sama-sama mengarah ke Niko,accusing
Si Dito diam bukan bukti kuat tapi timing Gag Order-nya bikin dia jadi tersangka utama,accusing
Gw belum yakin seratus persen tapi respons Sari paling konsisten dengan pemain yang sedang menutupi peran,accusing
Adit terus mendorong vote tanpa menjelaskan alasan pola seperti ini cocok dengan Hitman,accusing
Setelah targetnya disorot dia mendadak membungkam Lala dan menurutku itu manuver Hitman,accusing
Aku menuduh Reno karena analisisnya cuma muncul setelah mayoritas menentukan pilihan,accusing
Sus banget si Fajar mengalihkan topik setiap kali ditanya soal kejadian malam,accusing
Tidak ada bukti langsung tetapi kontradiksi ucapan Tia cukup untuk menempatkannya sebagai kandidat Hitman,accusing
Gag Order ke pemain paling vokal terasa seperti usaha membentuk narasi dan pelakunya kemungkinan si Gilang,accusing
Menurut urutan kejadian Wawan punya motif paling jelas untuk membungkam Nisa,accusing
Dia mengaku yakin pada dua pemain sekaligus lalu membalik pendapat itu indikasi kuat dari Hitman yang membaca situasi,accusing
Aku rasa Kiki bukan sekadar bingung dia sengaja membuat diskusi berputar supaya vote salah sasaran,accusing
Si Jovan terlalu cepat menyimpulkan target malam padahal informasinya belum cukup jadi dia mencurigakan,accusing
Dari semua chat pembelaan Maya paling defensif dan tidak menjawab inti pertanyaan,accusing
Lu boleh beda pendapat tapi pola Gag Order mendadak ini paling masuk akal kalau pelakunya si Oki,accusing
Rian baru aktif setelah satu orang dibungkam timing itu membuatnya layak dicurigai,accusing
Secara objektif Seno punya lebih banyak inkonsistensi dibanding pemain lain jadi vote ke dia cukup beralasan,accusing
Dia menuduh orang lain berdasarkan asumsi lalu menolak klarifikasi menurutku itu gaya Hitman,accusing
Si Putri kelihatan sengaja menjaga dua kubu tetap bertengkar kemungkinan dia sedang mengamankan diri sebagai Hitman,accusing
Aku curiga pada Bayu karena dia tahu detail yang seharusnya belum bisa dipastikan dari diskusi,accusing
Tidak ada dasar kuat untuk tuduhanmu Doni justru cara kamu memaksakan vote terlihat mencurigakan,accusing
Setelah Gag Order aktif dia langsung menuduh korban yang dibungkam itu terasa seperti setup dari Hitman,accusing
Si Vina paling sering mengikuti opini mayoritas tanpa argumen sendiri pola aman seperti ini patut dicurigai,accusing
Kalau dia benar Civilian harusnya dia bisa menjelaskan logikanya sejauh ini si Arman hanya mengulang tuduhan,accusing
Fokus pada perubahan sikapnya bukan volume chat-nya menurutku Yudi berubah setelah aksi malam dan itu mencurigakan,accusing
Gw menilai si Caca sebagai sus utama karena dia selalu menghindari komitmen saat voting,accusing
Dia membungkam pemain yang hampir membantahnya jadi dugaan Hitman ke si Eko cukup kuat,accusing
Analisis waktunya tidak cocok Fina menyebut hasil sebelum informasi tersedia kemungkinan dia Hitman,accusing
Aku tidak ikut arus tapi pola diam lalu ikut vote terakhir membuat Hendra terlihat seperti pengatur suara,accusing
Si Intan menyerang karakter pemain lain tanpa membahas kejadian itu lebih mirip pengalihan daripada analisis,accusing
Lu bisa cek sendiri setiap argumen si Jaka muncul setelah ada tekanan itu pola defensif yang mencurigakan,accusing
Menurut bukti chat Karel punya alasan untuk membuat Lusi bungkam agar alibinya tidak diuji,accusing
Dia terus memecah fokus ke tersangka baru dan strategi itu menguntungkan Hitman seperti si Malik,accusing
