"teks_chat","label_intent"
"Aku civilian tau, tadi malam jelas jelas aku tidak melakukan apa-apa.","bluffing"
"bukan aku wehh, aku sebenarnya spy tadi malam aku itu jaga si jance","bluffing"
"aku sebenarnya stalker bro, tadi malam aku peek si kimberly dia itu civilian percaya dah","bluffing"
"ga mungkin aku hitman, klo ga ngapain aku dari tadi cari hitmannya siapa, mending aku diam diam aja","bluffing"
"tadi malam tu aku jaga willson makanya dia engga jadi ke hostage","bluffing"
"gag order itu apa, kok gada ditempatku","bluffing"
"role aku itu orang biasa weh, jangan habisin sesi vote ke aku","bluffing"
"Aku semalam Peek nathanael, dia itu Spy, aman kok dia.","bluffing"
"sebenarnya yang bisa Hostage cuma Hitman, sedangkan di tempatku tadi malam gada muncul apa apa di tempatku","bluffing"
"Aku Spy, semalam emang sengaja Guard orang yang beda dari round sebelumnya.","bluffing"
"aku diam tu bukan karena habis pakai skill, aku cuma lagi coba baca ulang chat kalian.","bluffing"
"Aku tu bukan Hitman, aku sekarang juga ikutan curiga ke orang yang mendadak hilang suaranya itu kena Hostage.","bluffing"
"Semalam aku gada ngapa ngapain aku tu dapat role Civilian","bluffing"
"Gue Stalker dan skill Peek gue masih cooldown, jadi jelas gue nggak punya aksi malam tadi.","bluffing"
"Gue yg guard nixon semalem, jadi jangan asal nyimpulin dia aman gara-gara hal lain.","bluffing"
"klo ada yg kena gag order barusan, sumpah bukan gue yg pake.","bluffing"
"gue mah pure civilian dari awal, boro-boro punya skill malam.","bluffing"
"semalem gue nyoba guard jessica sih, cuma gatau juga dia diincer hitman apa kagak.","bluffing"
"gue udh peek si nico, hasilnya dia bukan hitman weh.","bluffing"
"salah orang lu pada klo vote gue, gue cuma warga biasa yg lagi merhatiin  doang.","bluffing"
"ga mungkin gue yg hostage tammy, semalem aja tombol skill gue kaga ada.","bluffing"
"role gue spy bro, semalem gue emang sengaja guard derrick soalnya dia dituduh mulu.","bluffing"
"aku stalker nih, hasil peek ku semalem si valdric itu civilian.","bluffing"
"steve diem tuh bukan berarti gue yg pake gag order, kali aja emang dia lagi ga ngetik kan.","bluffing"
"nengo dari tadi aku kita diskusi bisa kelihatan aku hitman atau bukan","bluffing"
"target guard aku semalem itu tata, bukan orang yg kalian sebutin dari tadi.","bluffing"
"aku warga asli, kalo aku hitman mah dari tadi yg bisa chat udh pada ilang kubikin karna nuduh aku.","bluffing"
"hasil peek gue ke nuel semalem itu dia spy.","bluffing"
"ngapain juga gue bungkam jessica, orang dari tadi dia yg belain gue.","bluffing"
"semalem gue ga bisa peek weh, cooldown stalker gue belum kelar.","bluffing"
"gue tu memang civilian, info gue ya cuma nebak-nebak dari chat doang ga ada skill.","bluffing"
"klo lu pada curiga gara-gara gue diem aja, gue tadi cuma afk bentar astaga.","bluffing"
"gue spy dan guard gue semalem itu berhasil, cuma emang sistemnya ga ngasih tau sapa yg diserang.","bluffing"
"gue bukan hitman dah, dari tadi gue cuma nyatet siapa aja yg saling tuduh doang.","bluffing"
"semalem aku yg guard halim, jadi jelas bukan aku yg hostage.","bluffing"
"aku stalker bro, baru bisa peek lagi ntar ronde depan.","bluffing"
"tuduhan soal gag order itu ngawur bgt dah, role gue mana ada skill kek gitu.","bluffing"
"aku civilian weh, klo ada yg aneh-aneh pas malam jangan disangkut-pautin ke aku lah.","bluffing"
"hasil peek gue nunjukin si kimberly bukan hitman kok.","bluffing"
"semalem aku guard sebastian soalnya ronde kemarin udh jaga orang yg beda.","bluffing"
"aku ga pernah bilang punya info valid ya, aku cuma civilian yg nebak dari chat aja.","bluffing"
"klo aku hitman, ngapain coba dari awal aku malah nyuruh kalian ngecek  hostage?","bluffing"
"gue spy, semalem target guard gue si frandy, malam sebelumnya orang lain.","bluffing"
"aku stalker, semalem aku udh peek jance dan hasilnya dia emang civilian.","bluffing"
"gue kaga ada pake gag order ke nixon dah, dia emang udh diem sebelum gue nongol.","bluffing"
"role gue warga biasa, jadi kalo ada yg bilang gue gerak pas malam itu ngaco bgt.","bluffing"
"semalem gue fokus guard tammy, makanya ga ngeh ada kejadian apa ke yg lain.","bluffing"
"gue udh peek derrick, dia bukan hitman weh, jadi mending jangan vote dia dulu.","bluffing"
"gue mana ada skill buat ngilangin hak vote orang, buset.","bluffing"
"klo tata ga bisa chat, jangan asal main tuduh itu gara-gara gue napa.","bluffing"
"gue civilian polos bro, layar gue semalem cuma mentok loading nungguin pagi.","bluffing"
"gue spy weh, skill guard kan ga bisa dipake ke target yg sama dua kali, makanya gue ganti target.","bluffing"
"semalem hasil peek gue ke valdric itu nujukin dia spy.","bluffing"
"gue kaga pernah hostage siapapun, ini gue justru lagi nyari siapa yg paling sus diliar dari nya.","bluffing"
"gag order barusan bukan ulah gue sumpah, di gue gada tombolnya woy.","bluffing"
"aku warga asli bukan hitman, cek aja omongan aku konsisten dari ronde pertama kan.","bluffing"
"semalem aku sengaja guard jessica soalnya dia yg paling banyak omong kemaren.","bluffing"
"gue stalker tapi semalem ga bisa peek gara-gara masih cooldown.","bluffing"
"aku civilian wehh, jadi ga ada info malam apapun yg bisa aku spil.","bluffing"
"salah paham lu pada, gue tadi sempet diem gara-gara dc bentar .","bluffing"
"bukan gue weh yg bikin steve diam woi, dia emang udh off ngetik dari sebelumnya.","bluffing"
"aku spy bro, target guard ku semalem si tammy.","bluffing"
"aku udh peek nuel nih, rolenya aman civilian.","bluffing"
"logika aja klo aku hitman, mana berani aku terang-terangan belain orang yg lagi dicurigain kek gini.","bluffing"
"di gue kaga ada tombol hostage apalagi gag order dah.","bluffing"
"role aku stalker weh, hasil peek terkahir ku jelas-jelas bilang halim itu warga.","bluffing"
"aku mah cuma civilian, senjata ku cuma nebak-nebak di chat sama ngevote doang.","bluffing"
"semalem gue guard kimberly weh, bukan orang yg tiba-tiba bisu pagi ini.","bluffing"
"gue ga nyandera siapa-siapa ya, klo ada yg mendadak diam mending lu sus in yg lain dah.","bluffing"
"aku baru bisa peek lagi dua ronde setelah pake, jadi semalem aku emang pasif banget.","bluffing"
"gue spy bro, sengaja ga sebutin target guard dari awal biar hitman pusing baca  kita.","bluffing"
"mana ada gue pake gag order, gue aja lagi sibuk belain diri pas dia mendadak bisu.","bluffing"
"gue civilian, lu pada nuduh cuma gara-gara gue telat bales chat doang astaga.","bluffing"
"semalem aku udah peek si nico, dia bukan hitman kok.","bluffing"
"gue guard jance semalem, beda target kok sama malam kemarin.","bluffing"
"klo kalian tetep maksa vote gue yaudah, paling kalian rugi buang satu civilian yang beneran asli.","bluffing"
"aku bukan hitman woy, tebakan aku cuma murni dari mantau chat doang.","bluffing"
"gue stalker sih, cuma dari kemarin hasil peek gue dapetnya warga mulu blm nemu hitmannya.","bluffing"
"gue spy dan skill gue cuma bisa guard doang, mana mungkin bisa bungkam orang","bluffing"
"gue civilian woy, jangan gara-gara ada orang diem malah nuduh skillnya dari gue.","bluffing"
"semalem lu guard sapa dah?","probing"
"katanya lu spy, trus malam sebelumnya lu guard siapa?","probing"
"klo emang stalker, terakhir lu nge-peek siapa?","probing"
"hasil peek lu ke dia apaan rolenya?","probing"
"kok lu mendadak diem sih hbs nuduh si derrick?","probing"
"eh ada yg ngerasa sempet kena gag order ga barusan?","probing"
"yg pertama kali ngeh sebastian kaga bisa ngetik siapa dah?","probing"
"lu yakin dia di hostage? apa jangan-jangan cuma nebak gara-gara dia diem aja?","probing"
"tumben lu baru sekarang ngaku-ngaku spy?","probing"
"klo misal semalem lu guard tata, trus ronde kemarin lu guard siapa cuy?","probing"
"ada yg tau info rolenya nixon ga nih?","probing"
"dari tadi yg paling ngotot belain orang yg bisu ini siapa dah?","probing"
"menurut lu pada, yg kaga ngevote tadi emang di-hostage apa sengaja golput?","probing"
"lu bilang udh peek tammy, itu dipakenya pas kapan dah?","probing"
"cooldown peek lu harusnya udh kelar apa masih nunggu satu ronde lagi sih?","probing"
"klo nurut lu, yg paling untung pas jance kena gag order tu siapa?","probing"
"kenapa lu tiba-tiba ganti target tuduhan habis fase malam?","probing"
"eh sebelum si steve bisu, dia terakhir kali nyurigain siapa dah?","probing"
"ada yg nyadar  target hostage dari ronde kemaren kaga?","probing"
"klo lu emang warga, kok bisa seyakin itu bilang si nico aman?","probing"
"kok lu bisa yakin bgt serangan hostage semalem gagal dah?","probing"
"eh yg jadi spy, emang ada notif ya dari sistem klo guard kita berhasil nahan hostage?","probing"
"semalem lu guard orang yg sama kek kemaren apa ganti target?","probing"
"coba cek deh, sapa yg daritadi kaga pernah nyumbang curiga ke hitmannya?","probing"
"lu kok kepo bgt sih nanyain target guard orang mulu?","probing"
"klo dia beneran stalker, hasil peek mana coba yg nyambung sama omongannya?","probing"
"sapa yg tadi gercep bgt ngalihin obrolan pas orang itu dibungkam?","probing"
"alesan lu milih dia buat di-peek apaan dah?","probing"
"tadi bilangnya kaga ada aksi malam, brarti lu ngaku jadi warga polos nih?","probing"
"kok target guard lu selalu orang yg lagi rame dituduh dah?","probing"
"ada yg inget ga sapa aja yg kaga ikut nge-vote ronde kemarin?","probing"
"orang yg diem pas pagi ini, semalem masih pada bisa nge-vote kagak ya?","probing"
"menurut lu bedanya ciri-ciri orang di-hostage sama kena gag order tuh apaan?","probing"
"klo gag ordernya bentaran doang, terakhir dia ngechat kapan dah?","probing"
"yg pertama kali nyeletuk orang diem itu krn afk siapa weh?","probing"
"kok lu belain dia sih padahal kan blm ada kepastian hasil peek?","probing"
"lu tau rolenya gara-gara peek apa cuma modal feeling doang?","probing"
"klo bener lu spy, kok lu baru aktif sekarang ga dari awal?","probing"
"coba pikir, sapa yg paling punya motif buat ngebungkam nixon?","probing"
"ada ga nih yg ngaku nge-guard orang yg sama pas semalem?","probing"
"tadi bilangnya peek lu cooldown, emang terakhir lu pake kapan dah?","probing"
"kok lu kaga nge-vote orang yg lu curigain dari awal dah jangan jangan kalian kerja sama ya?","probing"
"sapa nih yg omongannya tiba-tiba berubah bgt hbs tribunal kemarin?","probing"
"misal hostagenya gagal gara-gara guard, yg kira-kira jadi target semalem siapa ya?","probing"
"ada yg bisa mastiin ngaku spy-nya dari  dua malem sebelumnya ga?","probing"
"kok lu langsung nyimpulin dia kena hostage padahal sistem kaga ada ngumumin tuh?","probing"
"yg dari tadi paling pengen vote orang keluar sapa aja nih?","probing"
"klo lu emang stalker, knp info peek sepenting itu baru dibongkar sekarang?","probing"
"lu yakin tuh hasil peek buat ronde ini? bukan info basi dari ronde sebelumnya?","probing"
"yg terakhir kali chat-an sama si korban sebelum dia bisu itu siapa ya?","probing"
"eh pagi ini ada yg ngerasa tombol votenya tiba-tiba ilang ga?","probing"
