teks_chat,label_intent
"dari pola ngomongnya A paling mencurigakan, dia terus dorong vote tanpa bukti jelas",offense
"B langsung kena Gag Order pas mau jelasin alibinya, fix ada Hitman yang takut kebongkar",offense
"menurut urutan kejadian, C paling diuntungkan dari hostage semalam, gw curiga dia Hitman",offense
"A dari tadi cuma ikut arus dan menghindari pertanyaan, perilakunya sus banget",offense
"Gag Order ke D muncul tepat setelah dia menyebut nama pelaku, kemungkinan besar C Hitmannya",offense
"gw perhatiin B selalu mengubah tuduhan saat argumennya dibantah, itu pola Hitman banget",offense
"kalau lihat timing vote, A sengaja mengalihkan fokus dari dirinya ke pemain yang pasif",offense
"C terlalu cepat menyimpulkan target tanpa data, menurutku dia sedang membangun narasi palsu",offense
"si D paling diuntungkan dari korban malam ini, jadi dia kandidat Hitman terkuat",offense
"bukan sekadar feeling, A konsisten menghindari pembahasan soal siapa yang kena hostage",offense
"B mendadak membungkam C setelah C mulai menyusun kronologi, gw tuduh B sebagai Hitman",offense
"dari semua pemain, C punya penjelasan paling tidak konsisten soal aksinya",offense
"A kelihatan sengaja memancing konflik lalu diam saat orang lain saling vote, mencurigakan banget",offense
"kalau Hitman punya akses Gag Order, timing ke B tadi terlalu tepat untuk dianggap kebetulan",offense
"gw lihat D selalu membela A tanpa alasan objektif, kemungkinan mereka satu kubu jahat",offense
"C terus menekan pemain yang informasinya terbatas, itu strategi aman buat menghindari sorotan",offense
"menurut analisis gw, B mengarang alibi setelah melihat arah diskusi, bukan dari informasi asli",offense
"A paling cepat menuduh setelah fase pagi dibuka, seolah sudah tahu siapa yang harus ditekan",offense
D jadi tersangka utama karena argumennya berubah total setelah Gag Order dipakai,offense
"si B terlalu tenang ketika korban muncul, responsnya terasa seperti sudah memperkirakan hasilnya",offense
"C menolak semua hipotesis tapi tidak menawarkan alternatif, gaya debatnya cuma mengaburkan jejak",offense
"dari pola voting ronde sebelumnya, A selalu membantu pemain yang akhirnya selamat dari tuduhan",offense
"Gag Order tadi kelihatan dipakai untuk memotong informasi penting, dan B punya motif paling kuat",offense
"D mengklaim punya logika, tapi tidak pernah menjelaskan hubungan antara bukti dan tuduhannya",offense
gw curiga C karena dia baru aktif setelah target diskusi sudah aman dari vote,offense
"A terlalu fokus menuduh pemain yang tidak bisa membalas, ini bisa jadi upaya memanfaatkan situasi",offense
"B punya alibi yang cuma bergantung pada asumsi, belum ada kejadian yang benar-benar mendukung",offense
"kalau dibandingkan dengan pola chat awal, D sekarang lebih agresif dan defensif secara bersamaan",offense
si C kemungkinan Hitman karena setiap pertanyaan penting selalu dijawab dengan tuduhan balik,offense
"aku menilai A paling berbahaya, dia mengontrol arah diskusi tanpa memberikan informasi baru",offense
"aku ikut suara mayoritas, si Raka paling mencurigakan dari chatnya",offense
"kalau ditanya, aku curiga ke Bima; jawabannya muter terus",offense
"sus, sejak ada Gag Order ke Nia, Riko malah cepat nuduh orang lain",offense
"aku nggak punya bukti kuat, tapi Dito diem terus kayak Hitman",offense
"menurutku Sari mencurigakan, apalagi dia menghindar waktu ditanya",offense
"ya, aku ikut vote Arga, dari tadi tuduhannya nggak jelas",offense
"yang kena Gag Order tadi kayaknya sengaja dibungkam, curiga ke Fikri",offense
"gw cuma ngikut mayoritas, tapi Vino paling sus dari responsnya",offense
"kalau lihat chat tadi, Lala lebih mungkin Hitman daripada yang lain",offense
"aku curiga sama Reno, dia muncul cuma pas ada yang mulai dituduh",offense
"si Tio terlalu cepat ikut nuduh, biasanya yang begitu patut dicurigai",offense
"nggak yakin sih, tapi Maya dari tadi jawab seperlunya banget",offense
"menurutku pelaku Gag Order ada di pihak Jovan, geraknya terlalu pas",offense
"aku ikut kecurigaan ke Seno, alasannya berubah-ubah terus",offense
"Ayu kelihatan panik waktu ditanya soal malam tadi, fix mencurigakan",offense
"gw nggak banyak ngomong, tapi pilihan gw tetap ke Damar",offense
"kalau mayoritas pilih Kiki, aku ikut; chat dia memang paling aneh",offense
"si Beni mungkin Hitman, dia terus mengarahkan vote ke orang lain",offense
aku curiga ke Caca karena dia sengaja menghilang setelah Gag Order,offense
"sus banget si Eko, tiap diskusi cuma ikut tuduhan terakhir",offense
"dari pola chatnya, Fani kayaknya lagi nutupin sesuatu",offense
"aku nggak bisa memastikan, tapi Gilang paling layak dicurigai",offense
yang nyuruh fokus ke korban Gag Order tadi kemungkinan besar Hadi,offense
"gw lihat Iqbal terlalu tenang, padahal situasinya udah kacau",offense
"kalau harus pilih sekarang, aku tuduh Jaka sebagai Hitman",offense
"si Karel jawabnya aman banget, malah jadi kelihatan sus",offense
"aku ikut pendapat kalian, tapi Luki memang paling mencurigakan",offense
menurutku Miko sengaja bikin debat berantakan supaya lolos vote,offense
"dia yang paling keras nuduh Nando, bisa jadi cuma pengalihan",offense
"aku curiga ke Oki; setelah Gag Order, dia langsung mengubah arah pembicaraan",offense
"jangan lempar tuduhan ke gw, yang paling mencurigakan justru si Raka dari tadi ngeles terus",offense
"gw bukan hitman, pola chat Dimas yang berubah-ubah itu lebih sus banget",offense
"kalau gw hitman, ngapain gw terus terang begini? fokus ke Nia yang mendadak diem",offense
"tuduhan ke gw lemah banget, si Bimo malah keliatan ngarahin vote dari awal",offense
"fix bukan gw, Ardi yang langsung nuduh tanpa bukti malah kayak lagi cari kambing hitam",offense
"jangan asal vote aku, kejadian Gag Order tadi jelas menguntungkan Seno",offense
"gw civilian, dan yang paling mungkin hitman itu Lala karena jawabannya muter-muter",offense
"kalian salah sasaran kalau ngejar gw, perhatiin Yuda yang selalu ikut vote terakhir",offense
"bukan aku pelakunya, si Tio terlalu cepat membela diri padahal belum dituduh",offense
"kalau mau cari hitman, cek Rani, dia konsisten bikin orang lain saling curiga",offense
"gw heran kenapa semua nuduh gw, padahal Fajar yang paling sering menghilang saat diskusi",offense
"jangan ketipu gaya kalemnya Kiki, dia justru paling mencurigakan sejak korban pertama",offense
"aku sudah jelasin posisi gw, sekarang lihat Doni yang jawabannya berubah setelah Gag Order",offense
"yang ngegas ke gw itu malah Beni, menurutku dia sedang nutupin perannya sendiri",offense
"gw bukan hitman, sus, tapi Vina jelas memanfaatkan kekacauan buat dorong vote ke gw",offense
"argumen kalian ke gw nggak nyambung, si Oji yang paling mungkin punya agenda jahat",offense
"kalau benar gw hitman, kenapa tuduhan pertama selalu gw patahkan? Caca lebih suspicious",offense
"jangan fokus ke aku terus, Reza dari tadi cuma ikut opini mayoritas tanpa analisis",offense
"Gag Order itu bukan bukti gw, malah Hendra yang paling diuntungkan karena lawannya dibungkam",offense
