teks_chat,label_intent
"dari pola ngomongnya A paling mencurigakan, dia terus dorong vote tanpa bukti jelas",offend
"B langsung kena Gag Order pas mau jelasin alibinya, fix ada Hitman yang takut kebongkar",offend
"menurut urutan kejadian, C paling diuntungkan dari hostage semalam, gw curiga dia Hitman",offend
"A dari tadi cuma ikut arus dan menghindari pertanyaan, perilakunya sus banget",offend
"Gag Order ke D muncul tepat setelah dia menyebut nama pelaku, kemungkinan besar C Hitmannya",offend
"gw perhatiin B selalu mengubah tuduhan saat argumennya dibantah, itu pola Hitman banget",offend
"kalau lihat timing vote, A sengaja mengalihkan fokus dari dirinya ke pemain yang pasif",offend
"C terlalu cepat menyimpulkan target tanpa data, menurutku dia sedang membangun narasi palsu",offend
"si D paling diuntungkan dari korban malam ini, jadi dia kandidat Hitman terkuat",offend
"bukan sekadar feeling, A konsisten menghindari pembahasan soal siapa yang kena hostage",offend
"B mendadak membungkam C setelah C mulai menyusun kronologi, gw tuduh B sebagai Hitman",offend
"dari semua pemain, C punya penjelasan paling tidak konsisten soal aksinya",offend
"A kelihatan sengaja memancing konflik lalu diam saat orang lain saling vote, mencurigakan banget",offend
"kalau Hitman punya akses Gag Order, timing ke B tadi terlalu tepat untuk dianggap kebetulan",offend
"gw lihat D selalu membela A tanpa alasan objektif, kemungkinan mereka satu kubu jahat",offend
"C terus menekan pemain yang informasinya terbatas, itu strategi aman buat menghindari sorotan",offend
"menurut analisis gw, B mengarang alibi setelah melihat arah diskusi, bukan dari informasi asli",offend
"A paling cepat menuduh setelah fase pagi dibuka, seolah sudah tahu siapa yang harus ditekan",offend
D jadi tersangka utama karena argumennya berubah total setelah Gag Order dipakai,offend
"si B terlalu tenang ketika korban muncul, responsnya terasa seperti sudah memperkirakan hasilnya",offend
"C menolak semua hipotesis tapi tidak menawarkan alternatif, gaya debatnya cuma mengaburkan jejak",offend
"dari pola voting ronde sebelumnya, A selalu membantu pemain yang akhirnya selamat dari tuduhan",offend
"Gag Order tadi kelihatan dipakai untuk memotong informasi penting, dan B punya motif paling kuat",offend
"D mengklaim punya logika, tapi tidak pernah menjelaskan hubungan antara bukti dan tuduhannya",offend
gw curiga C karena dia baru aktif setelah target diskusi sudah aman dari vote,offend
"A terlalu fokus menuduh pemain yang tidak bisa membalas, ini bisa jadi upaya memanfaatkan situasi",offend
"B punya alibi yang cuma bergantung pada asumsi, belum ada kejadian yang benar-benar mendukung",offend
"kalau dibandingkan dengan pola chat awal, D sekarang lebih agresif dan defensif secara bersamaan",offend
si C kemungkinan Hitman karena setiap pertanyaan penting selalu dijawab dengan tuduhan balik,offend
"aku menilai A paling berbahaya, dia mengontrol arah diskusi tanpa memberikan informasi baru",offend
"aku ikut suara mayoritas, si Raka paling mencurigakan dari chatnya",offend
"kalau ditanya, aku curiga ke Bima; jawabannya muter terus",offend
"sus, sejak ada Gag Order ke Nia, Riko malah cepat nuduh orang lain",offend
"aku nggak punya bukti kuat, tapi Dito diem terus kayak Hitman",offend
"menurutku Sari mencurigakan, apalagi dia menghindar waktu ditanya",offend
"ya, aku ikut vote Arga, dari tadi tuduhannya nggak jelas",offend
"yang kena Gag Order tadi kayaknya sengaja dibungkam, curiga ke Fikri",offend
"gw cuma ngikut mayoritas, tapi Vino paling sus dari responsnya",offend
"kalau lihat chat tadi, Lala lebih mungkin Hitman daripada yang lain",offend
"aku curiga sama Reno, dia muncul cuma pas ada yang mulai dituduh",offend
"si Tio terlalu cepat ikut nuduh, biasanya yang begitu patut dicurigai",offend
"nggak yakin sih, tapi Maya dari tadi jawab seperlunya banget",offend
"menurutku pelaku Gag Order ada di pihak Jovan, geraknya terlalu pas",offend
"aku ikut kecurigaan ke Seno, alasannya berubah-ubah terus",offend
"Ayu kelihatan panik waktu ditanya soal malam tadi, fix mencurigakan",offend
"gw nggak banyak ngomong, tapi pilihan gw tetap ke Damar",offend
"kalau mayoritas pilih Kiki, aku ikut; chat dia memang paling aneh",offend
"si Beni mungkin Hitman, dia terus mengarahkan vote ke orang lain",offend
aku curiga ke Caca karena dia sengaja menghilang setelah Gag Order,offend
"sus banget si Eko, tiap diskusi cuma ikut tuduhan terakhir",offend
"dari pola chatnya, Fani kayaknya lagi nutupin sesuatu",offend
"aku nggak bisa memastikan, tapi Gilang paling layak dicurigai",offend
yang nyuruh fokus ke korban Gag Order tadi kemungkinan besar Hadi,offend
"gw lihat Iqbal terlalu tenang, padahal situasinya udah kacau",offend
"kalau harus pilih sekarang, aku tuduh Jaka sebagai Hitman",offend
"si Karel jawabnya aman banget, malah jadi kelihatan sus",offend
"aku ikut pendapat kalian, tapi Luki memang paling mencurigakan",offend
menurutku Miko sengaja bikin debat berantakan supaya lolos vote,offend
"dia yang paling keras nuduh Nando, bisa jadi cuma pengalihan",offend
"aku curiga ke Oki; setelah Gag Order, dia langsung mengubah arah pembicaraan",offend
"jangan lempar tuduhan ke gw, yang paling mencurigakan justru si Raka dari tadi ngeles terus",offend
"gw bukan hitman, pola chat Dimas yang berubah-ubah itu lebih sus banget",offend
"kalau gw hitman, ngapain gw terus terang begini? fokus ke Nia yang mendadak diem",offend
"tuduhan ke gw lemah banget, si Bimo malah keliatan ngarahin vote dari awal",offend
"fix bukan gw, Ardi yang langsung nuduh tanpa bukti malah kayak lagi cari kambing hitam",offend
"jangan asal vote aku, kejadian Gag Order tadi jelas menguntungkan Seno",offend
"gw civilian, dan yang paling mungkin hitman itu Lala karena jawabannya muter-muter",offend
"kalian salah sasaran kalau ngejar gw, perhatiin Yuda yang selalu ikut vote terakhir",offend
"bukan aku pelakunya, si Tio terlalu cepat membela diri padahal belum dituduh",offend
"kalau mau cari hitman, cek Rani, dia konsisten bikin orang lain saling curiga",offend
"gw heran kenapa semua nuduh gw, padahal Fajar yang paling sering menghilang saat diskusi",offend
"jangan ketipu gaya kalemnya Kiki, dia justru paling mencurigakan sejak korban pertama",offend
"aku sudah jelasin posisi gw, sekarang lihat Doni yang jawabannya berubah setelah Gag Order",offend
"yang ngegas ke gw itu malah Beni, menurutku dia sedang nutupin perannya sendiri",offend
"gw bukan hitman, sus, tapi Vina jelas memanfaatkan kekacauan buat dorong vote ke gw",offend
"argumen kalian ke gw nggak nyambung, si Oji yang paling mungkin punya agenda jahat",offend
"kalau benar gw hitman, kenapa tuduhan pertama selalu gw patahkan? Caca lebih suspicious",offend
"jangan fokus ke aku terus, Reza dari tadi cuma ikut opini mayoritas tanpa analisis",offend
"Gag Order itu bukan bukti gw, malah Hendra yang paling diuntungkan karena lawannya dibungkam",offend
"gw nggak ada alasan nyandera siapa pun, tapi Siska kelihatan tahu terlalu banyak",offend
"fitnah ke gw gampang banget dibantah, sementara Gilang terus menghindari pertanyaan soal malam",offend
"yang bener aja, aku defensif karena dituduh, bukan karena hitman; periksa pola chat Wawan",offend
"si Maya dari awal pasif lalu tiba-tiba ikut menekan gw, itu lebih aneh",offend
"gw bersih, dan menurutku Jaka sengaja memancing reaksi supaya vote beralih ke aku",offend
"jangan langsung eksekusi gw, lihat dulu Nando yang selalu muncul setelah ada korban",offend
"tuduhan kalian cuma asumsi, sedangkan perilaku Putri jelas menunjukkan dia sedang mengatur narasi",offend
"bukan gw yang bikin diskusi kacau, Riko yang terus lempar tuduhan tanpa dasar",offend
"kalau ada hitman di sini, kemungkinan besar Sari, karena dia paling aktif mengarahkan tribunal",offend
"aku sudah jawab semuanya, sekarang giliran Edo jelaskan kenapa dia diam saat Gag Order terjadi",offend
"gw menolak tuduhan ini, tapi justru dari cara Aldi memelintir omongan gw kelihatan dia mencurigakan",offend
"dari awal si A cuma ikut arus, nggak pernah buka analisis, menurut gw dia hitman",offend
"si B langsung nuduh orang lain begitu diskusi mulai panas, gaya banget nutupin jejak",offend
"fix si C mencurigakan, dia paling cepat nyari kambing hitam tiap pagi",offend
"gw ambil alih dulu, pola diamnya si D ditambah jawaban muter-muter cukup buat target vote hari ini",offend
"si E kena Gag Order tepat setelah nuduh si F, timing-nya terlalu pas, gw curiga pelakunya E",offend
"jangan kejebak pembelaan si G, dia baru aktif setelah ada yang mulai menekan namanya",offend
"menurutku si H Hitman, sejak malam pertama dia cuma mengarahkan vote tanpa bukti jelas",offend
"si I kelihatan panik waktu ditanya soal korban malam, jawabannya berubah-ubah",offend
"gw rasa hitmannya si J, dia sengaja bikin diskusi melebar biar kita nggak fokus ke dirinya",offend
"si K tadi mendadak membungkam si L, lalu langsung mendorong vote ke orang lain, ini pola yang mencurigakan",offend
"kalau kita rangkum, si M paling banyak dapat keuntungan dari kekacauan ini, vote dia",offend
"si N terlalu konsisten pura-pura netral, padahal semua pemain sudah kasih pendapat",offend
"aku menuduh si O, dia menghindari pertanyaan inti dan malah menyerang balik",offend
"lu perhatiin nggak, si P selalu muncul setelah ada tuduhan lalu ikut vote terakhir, fix mencurigakan",offend
"si Q dari tadi cuma mengulang opini orang lain, kemungkinan besar dia sedang menyamarkan perannya",offend
bukti terkuat sekarang mengarah ke si R karena dia langsung menggiring kita menjauh dari si S,offend
"si T kelihatan tahu terlalu banyak soal target malam, gw rasa dia Hitman",offend
"jangan vote acak, fokus ke si U yang tiba-tiba agresif setelah Gag Order terjadi",offend
"si V bilang tidak melihat apa-apa, tetapi langsung menuduh si W tanpa alasan, itu red flag",offend
"gw sudah baca alurnya, si X yang mulai konflik lalu pura-pura jadi penengah, dia target utama",offend
"si Y makin dibela oleh si Z tanpa dasar, bisa jadi mereka sedang saling melindungi sebagai Hitman dan partnernya",offend
menurut saya si A paling mencurigakan karena selalu menghindari komitmen saat diminta memilih,offend
"si B tadi menekan si C, tetapi setelah dibalas langsung mengubah topik, perilaku Hitman banget",offend
"aku minta semua fokus ke si D, dia mendapat kesempatan membungkam pemain lalu memakai kekacauan itu untuk menuduh",offend
"si E terlalu cepat menyimpulkan korban malam sebagai target tertentu, dari mana dia bisa seyakin itu",offend
"lu jangan terpancing drama si F, justru dia yang paling aktif mengatur arah vote tanpa data",offend
"si G muncul dengan pembelaan panjang sebelum ada yang menuduh, seolah-olah sudah menyiapkan alibi",offend
"hasil pengamatan chat sejauh ini paling berat ke si H, dia pasif saat aman dan agresif saat terpojok",offend
"si I terus memelintir ucapan orang lain, gw yakin dia sedang menebar fitnah sebagai Hitman",offend
"kita eksekusi si J hari ini, karena setelah Gag Order dia langsung menguasai diskusi dan mengarahkan target",offend
"Baru nyambung sekarang, dari tadi Rian paling rajin lempar tuduhan tapi jawab konteksnya kabur, fix dia Hitman",offend
"Tunggu, tadi siapa yang kena Gag Order? Naya langsung diam dan Bimo malah mengatur arah vote, Bimo paling mencurigakan sebagai Hitman",offend
"Gw telat baca chat, tapi pola Dito jelas banget, dia muncul cuma pas mau menggiring kita ke vote, curiga Hitman",offend
"Bisa ulang kronologinya? Dari yang sempat gw tangkap, Sela yang minta orang dibungkam lalu nuduh Arga, jangan-jangan Sela Hitman",offend
"Aku baru sadar, tiap diskusi mulai panas Vino selalu menghilang, terus muncul buat ikut vote terakhir, dia kemungkinan besar Hitman",offend
"Lu boleh jelasin ulang, kenapa Tio langsung nuduh korban Gag Order? Bagi gw itu gerakan Hitman banget",offend
"Awalnya gw nggak ngikutin, tapi sekarang kelihatan Fara konsisten memelintir ucapan orang, sus dia Hitman",offend
"Kalau aku tidak salah, Raka tadi satu-satunya yang membela pemain yang kena Gag Order, lalu pindah tuduhan mendadak, Raka patut dicurigai sebagai Hitman",offend
"Chat tadi cepat banget, gw ketinggalan, tapi Gilang yang paling diuntungkan dari diamnya Kiki, Gilang Hitman ya",offend
"Sebentar, siapa yang mulai isu soal Luki? Oh, ternyata Jovan, geraknya seperti Hitman yang sedang cari kambing hitam",offend
"Baru baca ulang, alasan Mira berubah setelah Gag Order muncul, ini mencurigakan, menurutku Mira Hitman",offend
"Gw belum paham semua vote, tapi Niko sengaja bikin kita fokus ke orang yang bungkam, kayaknya dia Hitman",offend
"Tolong recap singkat, kenapa Oka tahu target vote sebelum diskusi selesai? Dia terlalu siap, fix Hitman",offend
"Dari pengamatan sepotong-sepotong, Wulan paling sering menghindari pertanyaan langsung, aku nuduh Wulan sebagai Hitman",offend
"Lu lihat nggak? Begitu satu orang kena Gag Order, Bayu langsung memimpin narasi, buat gw Bayu pelakunya",offend
"Aku tadi AFK sebentar, tapi setelah baca ulang, Seno yang mengubah topik tiap kali ditanya soal malam sebelumnya, Seno sus sebagai Hitman",offend
"Kalau konteksnya benar begitu, Tegar punya motif paling jelas, dia membungkam Rosi lalu mendorong vote ke orang lain, Tegar Hitman",offend
"Maaf baru ikut, tapi kenapa semua orang melewatkan respons Caca? Dia defensif sebelum dituduh, kemungkinan dia Hitman",offend
"Gw masih nyusun kronologi, tapi satu hal jelas, Aldi selalu muncul setelah orang lain selesai berdebat dan tinggal ikut arus, Aldi curiga Hitman",offend
"Bentar, tadi yang pertama menyebut nama Yuda siapa? Fikri kan? Sekarang Fikri malah pura-pura bingung, fix dia Hitman",offend
"Dari chat yang kebaca, Intan sengaja memancing konflik lalu menghilang saat dibalas, aku menilai Intan adalah Hitman",offend
"Bisa ulang bagian Gag Order-nya? Kalau Deni yang memanfaatkannya buat menutup suara lawan, dia paling mungkin Hitman",offend
"Tadi aku belum menangkap, tetapi Rara terus menuduh tanpa bukti dan menolak klarifikasi, Rara kelihatan seperti Hitman",offend
"Sus, baru ngeh kenapa Reno ngotot banget vote Nisa padahal alasannya belum jelas, Reno kayaknya Hitman",offend
"Kita mungkin sudah melewatkan petunjuk ini, setiap target tuduhan Hadi aman, sementara dia selalu lolos dari sorotan, Hadi bisa jadi Hitman",offend
"Mereka tadi bahas apa sih? Setelah kuikuti ulang, cuma Lala yang langsung mengunci satu nama, Lala terlalu agresif, curiga Hitman",offend
"Aku ketinggalan dua halaman chat, tapi dari rekamannya Dava paling diuntungkan saat Miko kena Gag Order, Dava lu Hitman",offend
"Mohon ulangi konteksnya, tetapi perubahan sikap Putri setelah tribunal tadi terasa dibuat-buat, saya menuduh Putri sebagai Hitman",offend
"Gw nggak mau asal vote, cuma Kresna konsisten bikin kita saling curiga tanpa memberi info, buat gw dia kandidat Hitman terkuat",offend
"Baru nyambung sekarang, yang terus minta kita mengulang info sambil menghindari jawaban itu Sari, jangan-jangan dia Hitman",offend
"dari tadi si X paling rajin nuduh tapi nggak pernah kasih alasan, fix hitman",offend
"lu yang pertama kali panik pas korban disebut, jangan-jangan hitman",offend
"si B mendadak diam setelah Gag Order keluar, mencurigakan banget",offend
"gw curiga sama C, narasinya berubah tiap ada yang nanya",offend
"kalau memang civilian, kenapa lu ngotot banget nutupin si D?",offend
"si A tadi sengaja mancing vote ke orang random, gaya hitman banget",offend
"yang nge-Gag Order si E pasti lagi nyari kambing hitam, cek dia dulu",offend
"eh F, kok lu langsung tahu target malam tanpa ada yang cerita?",offend
menurutku G paling mencurigakan karena jawabannya terlalu aman,offend
"jangan keburu percaya si H, dia aktif cuma buat mengarahkan voting",offend
"gw lempar nama I, reaksinya tadi terlalu defensif buat warga biasa",offend
"si J kelihatan seperti mengatur alur diskusi, kemungkinan besar hitman",offend
"lu bilang cuma civilian, tapi dari tadi mainnya malah kayak sutradara",offend
"Gag Order ke si K terasa sengaja banget, pelakunya pasti takut dibongkar",offend
"si L tiba-tiba ikut vote terakhir tanpa analisis, itu langkah hitman banget",offend
"fix M adalah tersangka utama, dia selalu muncul saat tuduhan mulai panas",offend
"kalau N bukan hitman, coba jelaskan kenapa dia membela orang yang mencurigakan",offend
"gw nggak beli alasan O, terlalu rapi buat orang yang katanya bingung",offend
"si P paling cepat nuduh balik setelah ditanya, kena bait dikit langsung kebuka",offend
"dari pola chat, Q kelihatan sedang mengarahkan kita menjauh dari target asli",offend
"kamu jangan pura-pura netral, komentar kamu justru paling menguntungkan hitman",offend
"si R mendadak agresif setelah satu pemain dibungkam, kayak takut info bocor",offend
aku menuduh S karena dia cuma bicara saat voting mulai dekat,offend
"yang terus mengganti target itu T, menurutku dia sedang mencari korban aman",offend
"si U terlalu fokus membela diri dan tidak membahas kejadian malam, sus banget",offend
"lu bilang Gag Order nggak penting, padahal itu petunjuk paling jelas buat baca hitman",offend
"V tadi menuduh dua orang sekaligus lalu kabur dari debat, pola provokasi murahan",offend
"kalau W memang warga, kenapa dia langsung percaya alibi si X?",offend
aku rasa Y sengaja memancing keributan supaya perhatian tidak tertuju kepadanya,offend
"si Z paling mungkin hitman, komentarnya konsisten mengacaukan arah tribunal",offend
"dari cara lu ngarahin voting tanpa bukti, gw curiga lu Hitman",offend
"si Dito dari tadi jawabnya muter-muter, fix dia nyembunyiin sesuatu",offend
"kok tiap ada yang mulai nuduh Naya, lu langsung alihin topik? mencurigakan banget",offend
menurutku Raka paling mungkin Hitman karena dia konsisten memancing keributan,offend
"yang kena Gag Order barusan justru pemain yang paling dekat membongkar lu, kan?",offend
"lu terlalu cepat nuduh orang lain setelah chat gw dibungkam, sus banget",offend
siapa pun yang pakai Gag Order ke Beni kemungkinan besar sedang nutupin jejak,offend
"gw lihat pola voting Sari selalu mengikuti mayoritas, tapi dia yang mulai provokasi dari awal",offend
"Aldi diam terus, lalu muncul cuma buat nuduh orang; gw rasa dia Hitman",offend
"jangan asal vote, tapi sejauh ini Fikri paling mencurigakan dari isi chatnya",offend
"lu bilang punya info, tapi nggak pernah kasih alasan jelas; gaya banget kayak Hitman",offend
"si Tia sengaja bikin dua orang saling tuduh, menurut gw itu strategi Hitman",offend
"chat mendadak sepi setelah Arman kena Gag Order, gw curiga pelakunya ada di pihak dia",offend
"Reno terlalu fokus membela satu orang, bisa jadi mereka satu kubu sama Hitman",offend
"kalau bukan lu yang nyandera, kenapa dari tadi lu paling panik waktu bahas korban?",offend
"gw nggak yakin sama Vina, responsnya berubah setelah fase malam",offend
"si Joko baru aktif saat voting dimulai, kemungkinan dia lagi cari target aman",offend
"lu terus menekan pemain yang nggak bisa membalas karena Gag Order, itu kelihatan banget kayak taktik Hitman",offend
"menurut pengamatan chat, Dena lebih banyak mengatur arah diskusi daripada mencari fakta",offend
"fix, Bagas mencurigakan; setiap tuduhan ke dia selalu dibalas dengan serangan balik",offend
"yang paling diuntungkan dari gagalnya diskusi tadi itu si Kiki, gw tuduh dia Hitman",offend
aku rasa Surya sengaja menyebarkan info setengah matang supaya kita salah voting,offend
"lu bilang netral, tapi semua komentar lu selalu membela pemain yang sama",offend
"si Maya kelihatan terlalu siap dengan alibi, padahal belum ada yang nuduh dia",offend
"Gag Order ke Wawan muncul tepat setelah dia menyebut nama lu, jadi dugaan gw jelas ke lu",offend
"kalau lihat urutan chatnya, Niko yang paling mungkin mengatur fitnah ini",offend
gw curiga sama Lala karena dia terus menghindari pertanyaan soal aksi malam,offend
"pemain yang paling keras menuduh tanpa bukti biasanya sedang menutupi perannya sendiri, dan itu lu",offend
"si Faris sengaja menunggu semua orang bicara sebelum ikut vote, biar aman dari sorotan",offend
"berdasarkan kejadian pagi ini, aku menilai Tono adalah kandidat Hitman paling kuat",offend
"Mayoritas nuduh B tapi pola diamnya A lebih mencurigakan, jangan-jangan A Hitman",offend
"Kok C langsung paling vokal sejak awal, biasanya yang terlalu ngatur begini justru Hitman",offend
"D kena Gag Order pas mulai nunjuk E, menurutku D sengaja membungkam dia sebagai Hitman",offend
"Gag Order tadi terlalu pas buat mengalihkan perhatian, si F kayaknya Hitman",offend
"F ngotot banget minta kita vote G tanpa bukti jelas, gw malah curiga F",offend
"Kalau G benar Civilian, kenapa dia terus menghindari pertanyaan soal Hostage semalam",offend
"Semua orang ikut tuduhan ke H, tapi gw justru curiga H karena dia yang pertama memancing keributan",offend
"I cuma mengulang opini mayoritas tanpa analisis, sus banget kalau bukan Hitman",offend
"J menghilang saat diskusi panas lalu muncul buat ikut vote, pola macam itu bikin dia tersangka utama",offend
"K baru aktif setelah arah voting jelas, fix dia sedang menunggu momen aman sebagai Hitman",offend
"L terlalu cepat percaya klaim Stalker, bisa jadi dia Hitman yang numpang informasi orang lain",offend
"M nuduh N tanpa alasan lalu langsung minta vote, M kelihatan sedang mengatur Tribunal",offend
"N kena Gag Order setelah menekan M, jadi aku lebih percaya M adalah Hitman",offend
"O terus mendorong kita eksekusi P tetapi tidak pernah menjelaskan alasannya, O patut dicurigai",offend
"P bilang semua orang sus padahal dia sendiri paling defensif, menurutku P Hitman",offend
"Q memanfaatkan kekacauan setelah korban Hostage diumumkan, gaya mainnya terlalu oportunis buat Civilian",offend
"R selalu menghindari pertanyaan soal target malam, dia mungkin Hitman yang takut salah bicara",offend
"S langsung menuduh T hanya karena T diam, itu terasa seperti fitnah dari Hitman",offend
"T berubah pendapat tiap kali mayoritas bergeser, aku curiga dia sedang mencari posisi aman",offend
"U mengklaim punya info tapi sengaja tidak menyebut sumbernya, jangan-jangan dia Hitman",offend
"V terlalu dominan di chat dan memotong semua argumen, bisa saja itu cara Hitman mengontrol diskusi",offend
"W pura-pura netral tetapi selalu mengarahkan vote ke X, buatku W lebih mencurigakan",offend
"X menuduh tiga orang sekaligus tanpa bukti, kayaknya dia sedang menebar kabut sebagai Hitman",offend
